artigoEmPeriodico	Roberto Marcondes Cesar Junior	2009	http://dx.doi.org/10.1016/j.jneumeth.2008.10.037	Automatic contour extraction from 2D neuron images	Journal of Neuroscience Methods	LEANDRO, J ; CESARJR, R ; COSTA, L	B2	
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2009	http://dx.doi.org/10.1016/j.jvcir.2009.01.002	Generating segmented meshes from textured color images	Journal of Visual Communication and Image Representation	LIZIER, M. A. ; MARTINS JR, D C ; CUADROS-VARGAS, A. J. ; CESAR JUNIOR, R. M. ; NONATO, L. G.	B1	Journal of Visual Communication and Image Representation (Print)
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2009	http://dx.doi.org/10.1007/s00371-009-0373-x	3D face computational photography using PCA spaces	The Visual Computer	Mena-Chalco, Jesús P. ; Macêdo, Ives ; Velho, Luiz ; Cesar, Roberto M.	B1	
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2009	http://dx.doi.org/10.1590/S0104-65002009000400004	ScriptLattes: an open-source knowledge extraction system from the Lattes platform	Journal of the Brazilian Computer Society (Impresso)	Mena-Chalco, Jesús Pascual ; Cesar Junior, Roberto Marcondes	B2	
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2009	http://dx.doi.org/10.1590/S0100-879X2009000700008	A novel polar-based human face recognition computational model	Brazilian Journal of Medical and Biological Research (Impresso)	Zana, Y. ; Mena-Chalco, J.P. ; Cesar Jr., R.M.	B2	
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2008	http://dx.doi.org/10.1186/1471-2105-9-451	Feature selection environment for genomic applications	BMC Bioinformatics	Lopes, Fabricio M. ; Martins, David C. ; Cesar, Roberto M.	A1	
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2008	http://dx.doi.org/10.1109/tcbb.2007.70259	Identification of Protein Coding Regions Using the Modified Gabor-Wavelet Transform	IEEE/ACM Transactions on Computational Biology and Bioinformatics (Print)	Mena-Chalco, J.P. ; CARRER, H. ; Zana, Y. ; CESAR JUNIOR, R. M.	A2	
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2007	http://dx.doi.org/10.1186/1471-2105-8-169	A feature selection approach for identification of signature genes from SAGE data	BMC Bioinformatics	BARRERA, J ; CESAR JUNIOR, R. M. ; HUMES JR., C. ; MARTINS JR, D C ; PATRAO, D. F. C. ; SILVA, P J S ; BRENTANI, H	A1	
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2007	http://dx.doi.org/10.1364/JOSAA.24.001448	Automated segmentation of retinal blood vessels and identification of proliferative diabetic retinopathy	Journal of the Optical Society of America. A, Optics Image Science and Vision	Jelinek, Herbert F. ; Cree, Michael J. ; Leandro, Jorge J. G. ; Soares, João V. B. ; Cesar, Roberto M. ; Luckie, A.	A2	Journal of the Optical Society of America. A, Optics, Image Science, and Vision
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2006	http://dx.doi.org/10.1145/1119766.1119771	Face recognition based on polar frequency features	ACM Transactions on Applied Perception	ZANA, Yossi ; Cesar, Roberto M.	B2	ACM Transactions on Applied Perception (Print)
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2006	http://dx.doi.org/10.1016/j.imavis.2006.02.014	Local approach for face verification in polar frequency domain	Image and Vision Computing	ZANA, Y ; CESARJR, R ; FERIS, R ; TURK, M	A1	
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2006	http://dx.doi.org/10.1007/s10044-006-0031-0	W-operator Window Design by Minimization of Mean Conditional Entropy	Pattern Analysis and Applications	MARTINS JR, D C ; CESAR JUNIOR, R. M. ; BARRERA, J	B1	
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2006	http://dx.doi.org/10.1109/TSMCB.2005.857095	On the ternary spatial relation	Part B, Cybernetics	BLOCH, Isabelle ; COLLIOT, O ; CESAR JUNIOR, R. M.	Qualis nao identificado	Part B, Cybernetics
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2006	http://dx.doi.org/10.1109/tmi.2006.879967	Retinal vessel segmentation using the 2-D Gabor wavelet and supervised classification	IEEE Transactions on Medical Imaging (Print)	Soares, J.V.B. ; LEANDRO, J. J. G. ; CESAR JUNIOR, R. M. ; Jelinek, H.F. ; Cree, M.J.	A1	
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2005	http://dx.doi.org/10.1002/ajpa.20209	Sexual dimorphism in the Japanese cranial base: A Fourier-wavelet representation	American Journal of Physical Anthropology	Lestrel, P.E. ; Cesar, R.M. ; TAKAHASHI, O. ; KANAZAWA, E.	C	
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2005	http://dx.doi.org/10.1016/j.patcog.2005.05.007	Inexact graph matching for model-based recognition: Evaluation and comparison of optimization algorithms	Pattern Recognition	CESARJR, R; BENGOETXEA, E ; BLOCH, I ; LARRANAGA, P	A1	
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2005		Development of retinal blood vessel segmentation methodology using wavelet transforms for assessment of diabetic retinopathy	Complexity International	CORNFORTH, D. ; JELINEK, H. ; LEANDRO, J. J. G. ; SOARES, J. V. B. ; CESAR JUNIOR, R. M. ; CREE, M ; MITCHELL, P ; BOSSOMAIER, T	Qualis nao identificado	Complexity International
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2004	http://dx.doi.org/10.1016/S0010-4825(03)00073-8	An environment for knowledge discovery in biology	Computers in Biology and Medicine	BARRERA, J ; CESAR JUNIOR, R. M. ; FERREIRA, J e ; GUBITOSO, M D	B1	
